
Date	 	Name	Type	Details
Jan 1	Sunday	New Year's Day	Statutory Holiday	 
Jan 2	Monday	Day off for New Year's Day	Statutory Holiday	 
Jan 2	Monday	Day After New Year’s Day	Local holiday	Quebec
Jan 6	Friday	Epiphany	Observance, Christian	 
Jan 7	Saturday	Orthodox Christmas Day	Orthodox	 
Jan 14	Saturday	Orthodox New Year	Orthodox	 
Jan 22	Sunday	Lunar New Year	Observance	 
Feb 2	Thursday	Groundhog Day	Observance	 
Feb 6	Monday	Tu B'Shevat (Arbor Day)	Jewish holiday	 
Feb 14	Tuesday	Valentine's Day	Observance	 
Feb 15	Wednesday	National Flag of Canada Day	Observance	 
Feb 18	Saturday	Isra and Mi'raj	Muslim	 
Feb 20	Monday	Louis Riel Day	Common local holiday	Manitoba
Feb 20	Monday	Nova Scotia Heritage Day	Common local holiday	Nova Scotia
Feb 20	Monday	Islander Day	Common local holiday	PE
Feb 20	Monday	Family Day	Common local holiday	AB, BC, NB, ON, SK
Feb 21	Tuesday	Carnival / Shrove Tuesday / Pancake Day	Christian	 
Feb 22	Wednesday	Ash Wednesday	Christian	 
Feb 24	Friday	Yukon Heritage Day	Local de facto holiday	Yukon
Mar 1	Wednesday	St David's Day	Observance	 
Mar 7	Tuesday	Purim	Jewish holiday	 
Mar 12	Sunday	Daylight Saving Time starts	Clock change/Daylight Saving Time	 
Mar 13	Monday	Commonwealth Day	Observance	 
Mar 17	Friday	St. Patrick's Day	Observance	 
Mar 20	Monday	St. Patrick's Day	Local holiday	NL
Mar 20	Monday	March Equinox	Season	 
Mar 23	Thursday	Ramadan Start	Muslim	 
Apr 2	Sunday	Palm Sunday	Christian	 
Apr 6	Thursday	Maundy Thursday	Christian	 
Apr 6	Thursday	First day of Passover	Jewish holiday	 
Apr 6	Thursday	Tartan Day	Observance	 
Apr 7	Friday	Good Friday	Statutory Holiday	 
Apr 8	Saturday	Holy Saturday	Christian	 
Apr 9	Sunday	Easter Sunday	Shops Closing Day	NL
Apr 9	Sunday	Easter Sunday	Designated Retail Closing Day	Nova Scotia
Apr 9	Sunday	Easter Sunday	Observance, Christian	 
Apr 9	Sunday	Vimy Ridge Day	Observance	 
Apr 10	Monday	Easter Monday	Statutory Holiday	NT, NU, QC
Apr 10	Monday	Easter Monday	Statutory Holiday	New Brunswick
Apr 10	Monday	Easter Monday	Optional holiday	Alberta
Apr 10	Monday	Easter Monday	Local de facto holiday	Yukon
Apr 13	Thursday	Last day of Passover	Jewish holiday	 
Apr 14	Friday	Orthodox Good Friday	Orthodox	 
Apr 15	Saturday	Orthodox Holy Saturday	Orthodox	 
Apr 16	Sunday	Orthodox Easter	Orthodox	 
Apr 17	Monday	Laylatul Qadr (Night of Power)	Muslim	 
Apr 17	Monday	Orthodox Easter Monday	Orthodox	 
Apr 18	Tuesday	Yom HaShoah	Jewish commemoration	 
Apr 21	Friday	Eid ul Fitr	Muslim	 
Apr 24	Monday	St. George's Day	Local holiday	NL
Apr 26	Wednesday	Yom HaAtzmaut	Jewish holiday	 
May 6	Saturday	The Coronation of King Charles III	Observance	 
May 9	Tuesday	Lag B'Omer	Jewish holiday	 
May 14	Sunday	Mother's Day	Observance	 
May 18	Thursday	Ascension Day	Christian	 
May 22	Monday	National Patriots' Day	Local holiday	Quebec
May 22	Monday	Victoria Day	Statutory Holiday	New Brunswick
May 22	Monday	Victoria Day	Statutory Holiday	All except NB, NS, PE, QC
May 26	Friday	Shavuot	Jewish holiday	 
May 28	Sunday	Pentecost	Christian	 
May 29	Monday	Whit Monday	Christian	 
Jun 4	Sunday	Trinity Sunday	Christian	 
Jun 8	Thursday	Corpus Christi	Christian	 
Jun 18	Sunday	Father's Day	Observance	 
Jun 21	Wednesday	National Indigenous Peoples Day	Observance	 
Jun 21	Wednesday	National Indigenous Peoples Day	Local holiday	NT, Yukon
Jun 21	Wednesday	June Solstice	Season	 
Jun 24	Saturday	St. Jean Baptiste Day	Local holiday	Quebec
Jun 26	Monday	June Holiday	Local holiday	NL
Jun 29	Thursday	Eid al-Adha	Muslim	 
Jul 1	Saturday	Memorial Day	Local holiday	NL
Jul 1	Saturday	Canada Day	Statutory Holiday	 
Jul 9	Sunday	Nunavut Day	Local holiday	Nunavut
Jul 10	Monday	Nunavut Day observed	Local holiday	Nunavut
Jul 10	Monday	Orangemen's Day	Local holiday	NL
Jul 19	Wednesday	Muharram/Islamic New Year (Tentative Date)	Muslim	 
Jul 27	Thursday	Tisha B'Av	Jewish holiday	 
Jul 28	Friday	Ashura (Tentative Date)	Muslim	 
Aug 2	Wednesday	The Royal St John's Regatta (Regatta Day)	Local holiday	NL
Aug 7	Monday	Civic/Provincial Day	Statutory Holiday	NT, Nunavut
Aug 7	Monday	Civic/Provincial Day	Local observance	Ontario
Aug 7	Monday	Saskatchewan Day	Common local holiday	Saskatchewan
Aug 7	Monday	Terry Fox Day	Local observance	Manitoba
Aug 7	Monday	New Brunswick Day	Prescribed Day of Rest	New Brunswick
Aug 7	Monday	British Columbia Day	Common local holiday	BC
Aug 7	Monday	Natal Day	Common local holiday	Nova Scotia
Aug 7	Monday	Heritage Day	Optional holiday	Alberta
Aug 15	Tuesday	Assumption of Mary	Christian	 
Aug 18	Friday	Gold Cup Parade	Local holiday	PE
Aug 21	Monday	Discovery Day	Local holiday	Yukon
Sep 4	Monday	Labour Day	Statutory Holiday	 
Sep 16	Saturday	Rosh Hashana	Jewish holiday	 
Sep 23	Saturday	September Equinox	Season	 
Sep 25	Monday	Yom Kippur	Jewish holiday	 
Sep 27	Wednesday	Milad un Nabi (Mawlid) (Tentative Date)	Muslim	 
Sep 30	Saturday	First day of Sukkot	Jewish holiday	 
Sep 30	Saturday	National Day for Truth and Reconciliation	Federal Employees Holiday	 
Sep 30	Saturday	National Day for Truth and Reconciliation	Statutory Holiday	NT, NU, PE, YT
Oct 4	Wednesday	Feast of St Francis of Assisi	Christian	 
Oct 6	Friday	Hoshana Rabbah	Jewish holiday	 
Oct 7	Saturday	Shemini Atzeret	Jewish holiday	 
Oct 8	Sunday	Simchat Torah	Jewish holiday	 
Oct 9	Monday	Thanksgiving Day	Statutory Holiday	All except NB, NS, PE
Oct 9	Monday	Thanksgiving Day	Designated Retail Closing Day	Nova Scotia
Oct 9	Monday	Thanksgiving Day	Observance	PE
Oct 9	Monday	Thanksgiving Day	Statutory Holiday	New Brunswick
Oct 18	Wednesday	Healthcare Aide Day	Local observance	BC, Manitoba
Oct 31	Tuesday	Halloween	Observance	 
Nov 1	Wednesday	All Saints' Day	Observance, Christian	 
Nov 2	Thursday	All Souls' Day	Observance, Christian	 
Nov 5	Sunday	Daylight Saving Time ends	Clock change/Daylight Saving Time	 
Nov 8	Wednesday	National Aboriginal Veterans Day	Observance	 
Nov 11	Saturday	Remembrance Day	Statutory Holiday	All except MB, NS, ON, QC
Nov 11	Saturday	Remembrance Day	Observance	MB, NS, ON, QC
Nov 12	Sunday	Diwali/Deepavali	Observance	 
Dec 3	Sunday	First Sunday of Advent	Observance	 
Dec 8	Friday	Feast of the Immaculate Conception	Christian	 
Dec 8	Friday	First Day of Hanukkah	Jewish holiday	 
Dec 11	Monday	Anniversary of the Statute of Westminster	Observance	 
Dec 15	Friday	Last day of Hanukkah	Jewish holiday	 
Dec 21	Thursday	December Solstice	Season	 
Dec 24	Sunday	Christmas Eve	Observance	 
Dec 25	Monday	Christmas Day	Statutory Holiday	 
Dec 26	Tuesday	Kwanzaa (first day)	Observance	 
Dec 26	Tuesday	Boxing Day	Statutory Holiday	NL, NT, NU, ON
Dec 26	Tuesday	Boxing Day	Designated Retail Closing Day	Nova Scotia
Dec 26	Tuesday	Boxing Day	Local de facto holiday	Yukon
Dec 26	Tuesday	Boxing Day	Optional holiday	Alberta
Dec 26	Tuesday	Boxing Day	Provincial Public Sector Holiday	New Brunswick
Dec 31	Sunday	New Year's Eve	Observance	 
